Distribution,UE Count,Retransmissions,Channel Quality,Transmission Mode,Average RB Allocation (%),RB Allocation STD (%),Average RB Reallocation (%),RB Reallocation STD (%)
static,2,no-harq,low-noise,multicast,97.4,0.5,0,0
static,2,no-harq,low-noise,unicast,48.8,1.8,0,0
static,2,no-harq,high-noise,multicast,97.5,0.4,0,0
static,2,no-harq,high-noise,unicast,48.9,1.1,0,0
static,2,no-harq,average,multicast,97.6,0.51,0,0
static,2,no-harq,average,unicast,49,1.2,0,0
static,2,harq,low-noise,multicast,73.19,13.81,1.28,0.04
static,2,harq,low-noise,unicast,49,0.32,0.8,0.08
static,2,harq,high-noise,multicast,47.44,3.85,13.98,1.36
static,2,harq,high-noise,unicast,38.47,0.26,10.41,1.41
static,2,harq,average,multicast,65.8,5.81,6.59,0.71
static,2,harq,average,unicast,45.3,0.35,3.98,0.57
static,3,no-harq,low-noise,multicast,97.4,0.45,0,0
static,3,no-harq,low-noise,unicast,33.2,1.4,0,0
static,3,no-harq,high-noise,multicast,97.5,0.43,0,0
static,3,no-harq,high-noise,unicast,33.3,0.99,0,0
static,3,no-harq,average,multicast,97.2,0.4,0,0
static,3,no-harq,average,unicast,33.4,1.15,0,0
static,4,no-harq,low-noise,multicast,97.3,0.4,0,0
static,4,no-harq,low-noise,unicast,25.1,1.1,0,0
static,4,no-harq,high-noise,multicast,97.4,0.45,0,0
static,4,no-harq,high-noise,unicast,24.9,0.74,0,0
static,4,no-harq,average,multicast,97.4,0.5,0,0
static,4,no-harq,average,unicast,25,0.75,0,0
static,4,harq,low-noise,multicast,68,20.79,1.25,0.12
static,4,harq,low-noise,unicast,24.2,0.72,0.6,0.1
static,4,harq,high-noise,multicast,39.1,2.79,10.8,1.31
static,4,harq,high-noise,unicast,19.03,0.27,5.42,1.22
static,4,harq,average,multicast,50.88,8.56,6.58,1.31
static,4,harq,average,unicast,22.14,0.3,2.57,1.22
static,8,harq,low-noise,multicast,63.42,1.17,1.2,0.04
static,8,harq,low-noise,unicast,11.6,0.59,0.4,0.07
static,8,harq,high-noise,multicast,30.2,2.83,6.59,1.22
static,8,harq,high-noise,unicast,9.51,0.34,2.73,1.06
static,8,harq,average,multicast,36,7.66,6.6,1.31
static,8,harq,average,unicast,11.16,0.25,1.19,1.22
static,16,harq,low-noise,multicast,58.45,0.97,1.27,0.14
static,16,harq,low-noise,unicast,5.8,0.3,0.32,0.34
static,16,harq,high-noise,multicast,21.22,1.93,4,1.22
static,16,harq,high-noise,unicast,4.7,0.19,1.3,0.8
static,16,harq,average,multicast,21.1,5.8,4,1.22
static,16,harq,average,unicast,5.48,0.2,0.6,0.8
