Distribution,UE Count,Retransmissions,Channel Quality,Transmission Mode,Average Throughput (Mbps),Throughput STD (Mbps)
static,2,no-harq,low-noise,multicast,36,0.71
static,2,no-harq,low-noise,unicast,18,1.4
static,2,no-harq,high-noise,multicast,27.1,0.7
static,2,no-harq,high-noise,unicast,13.5,1
static,2,no-harq,average,multicast,31.6,1
static,2,no-harq,average,unicast,15.8,0.97
static,2,harq,low-noise,multicast,26.6,0.2
static,2,harq,low-noise,unicast,18,0.48
static,2,harq,high-noise,multicast,17.41,0.67
static,2,harq,high-noise,unicast,14.14,0.46
static,2,harq,average,multicast,23.91,0.62
static,2,harq,average,unicast,16.6,0.52
static,3,no-harq,low-noise,multicast,36,0.63
static,3,no-harq,low-noise,unicast,12,0.95
static,3,no-harq,high-noise,multicast,27.1,0.93
static,3,no-harq,high-noise,unicast,8.9,0.79
static,3,no-harq,average,multicast,31.6,1.31
static,3,no-harq,average,unicast,10.5,0.82
static,4,no-harq,low-noise,multicast,36,0.6
static,4,no-harq,low-noise,unicast,9,0.67
static,4,no-harq,high-noise,multicast,27.1,0.7
static,4,no-harq,high-noise,unicast,6.75,0.62
static,4,no-harq,average,multicast,31.6,0.76
static,4,no-harq,average,unicast,7.9,0.78
static,4,harq,low-noise,multicast,24.8,0.52
static,4,harq,low-noise,unicast,8.8,0.45
static,4,harq,high-noise,multicast,14.21,0.76
static,4,harq,high-noise,unicast,6.94,0.48
static,4,harq,average,multicast,18.5,0.71
static,4,harq,average,unicast,8.12,0.51
static,8,harq,low-noise,multicast,23.1,0.65
static,8,harq,low-noise,unicast,4.26,0.61
static,8,harq,high-noise,multicast,10.85,0.88
static,8,harq,high-noise,unicast,3.42,0.48
static,8,harq,average,multicast,13.06,0.85
static,8,harq,average,unicast,4.09,0.44
static,16,harq,low-noise,multicast,21.24,0.95
static,16,harq,low-noise,unicast,2.15,0.61
static,16,harq,high-noise,multicast,7.7,0.98
static,16,harq,high-noise,unicast,1.71,0.4
static,16,harq,average,multicast,7.66,0.96
static,16,harq,average,unicast,2.01,0.47
